,ALSHAYA FM KSA STANDARD PRICING- (YEAR 2021),,,,,,,,,,
,,,,,,,,,,1/11/2021,
,SN,TYPE,CODE,DECRIPTION,UNIT,QTY,"Material 
Price","Labor
Price ",Total,REMARKS,COMMENTS
,54,CARPENTRY,CA00054,GLASS DOOR - AUTOMATICH  HYDRAULIC HINGE CLOSER -HICOO- 6 MONTHS WARANTEE,PC,1,350,200,550,50% labor cost will be added on additional 02 units/piece and 25% labor charge will be added upon 04 and above quantity,
,55,CARPENTRY,CA00055,GLASS DOOR - AUTOMATICH  HYDRAULIC HINGE CLOSER -STANLEY- 6 MONTHS WARANTEE,PC,1,150,150,300,50% labor cost will be added on additional 02 units/piece and 25% labor charge will be added upon 04 and above quantity,
,56,CARPENTRY,CA00056,GLASS DOOR BEADING (SET),PC,1,50,125,175,50% labor cost will be added on additional 02 units/piece and 25% labor charge will be added upon 04 and above quantity,
,57,CARPENTRY,CA00057,GLASS DOOR BOTTOM LOCK -HICOO,PC,1,45,100,145,50% labor cost will be added on additional 02 units/piece and 25% labor charge will be added upon 04 and above quantity,
,58,CARPENTRY,CA00058,GLASS DOOR CENTRAL LOCK  -HICOO,PC,1,55,100,155,50% labor cost will be added on additional 02 units/piece and 25% labor charge will be added upon 04 and above quantity,
,59,CARPENTRY,CA00059,GLASS DOOR HANDLE  -HICOO,PC,1,35,100,135,50% labor cost will be added on additional 02 units/piece and 25% labor charge will be added upon 04 and above quantity,
,60,CARPENTRY,CA00060,GLASS DOOR HANDLE STAINLESS STEEL - HEAVY DUTY,PC,1,70,100,170,50% labor cost will be added on additional 02 units/piece and 25% labor charge will be added upon 04 and above quantity,
,61,CARPENTRY,CA00061,GLASS DOOR COMPLETE LOCK SET - STANLEY,PC,1,350,200,550,50% labor cost will be added on additional 02 units/piece and 25% labor charge will be added upon 04 and above quantity,
,62,CARPENTRY,CA00062,GLASS DOOR SEAL FULL DOOR - HEAVY DUTY  (POLYCARBONATE),PC,1,15,50,65,50% labor cost will be added on additional 02 units/piece and 25% labor charge will be added upon 04 and above quantity,
,63,CARPENTRY,CA00063,GLASS STICKER REMOVING & FIXING  - GRAPHICS SUPPLIED BY ALSHAYA,MTR^2,1,,25,25,,
,64,CARPENTRY,CA00064,HINGES CUPBOARD T DOOR  - HEAVY DUTY,PC,1,20,100,120,50% labor cost will be added on additional 02 units/piece and 25% labor charge will be added upon 04 and above quantity,
,65,CARPENTRY,CA00065,HINGES CUPBOARD WOODEN TYPE - HEAVY DUTY,PC,1,25,100,125,50% labor cost will be added on additional 02 units/piece and 25% labor charge will be added upon 04 and above quantity,
,66,CARPENTRY,CA00066,HINGES GLASS DOOR -HICOO,PC,1,35,100,135,50% labor cost will be added on additional 02 units/piece and 25% labor charge will be added upon 04 and above quantity,
,67,CARPENTRY,CA00067,HINGES WOODEN DOOR - HEAVY DUTY,PC,1,25,100,125,50% labor cost will be added on additional 02 units/piece and 25% labor charge will be added upon 04 and above quantity,
,68,CARPENTRY,CA00068,"LEXON CLEAR SHEET  SIZE 2*3 METER , THICKNESS 3 MM",PC,1,390,150,540,50% labor cost will be added on additional 02 units/piece and 25% labor charge will be added upon 04 and above quantity,NEW ITEM
,69,CARPENTRY,CA00069,"LEXON CLEAR SHEET  SIZE 2*3 METER , THICKNESS 4 MM",PC,1,480,150,630,50% labor cost will be added on additional 02 units/piece and 25% labor charge will be added upon 04 and above quantity,NEW ITEM
,70,CARPENTRY,CA00070,"LEXON CLEAR SHEET  SIZE 2*3 METER , THICKNESS 5 MM",PC,1,580,150,730,50% labor cost will be added on additional 02 units/piece and 25% labor charge will be added upon 04 and above quantity,NEW ITEM
,71,CARPENTRY,CA00071,MOVING SHELVES REPAIR WORK / MOBILE RACKING SYSTEM ,PC,1,,200,200,50% labor cost will be added on additional 02 units/piece and 25% labor charge will be added upon 04 and above quantity,
,72,CARPENTRY,CA00072,MOVING SHELVES REPAIR WORK FIXED  RACKING SYSTEM ,PC,1,,150,150,50% labor cost will be added on additional 02 units/piece and 25% labor charge will be added upon 04 and above quantity,
,73,CARPENTRY,CA00073,SMALL JOB - ANGLE BAR STANDARD CORNER PROTECTOR FIXING,VISIT,1,,150,150,,
