Region,City,Mall,Division,Brand,Store Name,Oracle Ccid,Code,Store Type,Store Status,Opening Date,Closure, SQM , FM  , FS  
Western,Jeddah,"Le Mall, Jeddah",Hospitality,Texas Roadhouse,"Le Mall, Jeddah",RB2-S443-TEX,S443,Mall Location,LFL,14-Dec-2013,,705,Hakeem ,Rajeev
Western,Jeddah,"Le Mall, Jeddah",Hospitality,The Cheesecake Factory,"Le Mall, Jeddah",RB2-S441-CHE,S441,Mall Location,LFL,14-Dec-2013,,1326,Bassem/Hakeem ,Rajeev
Western,Jeddah,"Red Sea Mall, Jeddah",Apparel,Victoria's Secret International-FA,"Red Sea Mall, Jeddah-FA",RB2-S747-VIF,S747,Mall Location,LFL,18-Nov-2017,,962,Bassem ,Abdulrhman 
Western,Jeddah,Stand Alone,Starbucks,Starbucks,"Zahra Plaza, Jeddah",RB2-S917-STA,S917,Plaza,LFL,23-Sep-2018,,164,Bassem ,Rayan 
Western,Jeddah,Stand Alone,Starbucks,Starbucks,Tamimi Kaust,RB2-S991-STA,S991,Plaza,LFL,29-Jun-2019,,114,Bassem ,Rayan 
Western,Jeddah,Abdullah Sulayman Al Faiha DT,Starbucks,Starbucks,Abdullah Sulayman Al Faiha DT,RB2-H938-STA,H938,Drive-Thru,TBC,25-Sep-2025,,180,Hakeem ,Sultan 
Western,Jeddah,Stand Alone,Starbucks,Starbucks,"Tamimi Prince Sultan DT, Jeddah",RB2-H520-STA,H520,Drive-Thru,PTL,24-Oct-2024,,225,Bassem ,Rajeev
Western,Jizan,Stand Alone,Starbucks,Starbucks,Corniche RD DT   Jizan,RB2-H379-STA,H379,Drive-Thru,LFL,6-Oct-2022,,250,Bassem ,Rayan 
Western,Khamis Mushait,Stand Alone,Starbucks,Starbucks,"Nooran Plaza, Khamis Mushait",RB2-2520-STA,2520,Plaza,LFL,10-May-2018,18-Apr-2026,200,Bassem ,Rayan 
Western,Khamis Mushait,Stand Alone,Starbucks,Starbucks,"Mojan Park Mall, Khamis Mushait",RB2-H161-STA,H161,Mall Location,LFL,21-Dec-2021,,190,Bassem ,Rayan 
Western,Khamis Mushait,Stand Alone,Starbucks,Starbucks,"Ravala DT ,Khamis Mushait",RB2-H251-STA,H251,Drive-Thru,LFL,22-Jun-2021,,175,Bassem ,Rayan 
Western,Khamis Mushait,Stand Alone,Starbucks,Starbucks,Ahad Rufidah King Khaled Rd  Khamis Mushait,RB2-H763-STA,H763,Drive-Thru,LFL,11-Nov-2023,,150,Bassem ,Rayan 
Western,Jeddah,The Village-Jeddah,Apparel,American Eagle,The Village-Jeddah,RB2-H663-AME,H663,Shopping Mall / Center,LFL,11-Sep-2023,,437,Bassem ,Rayan 
Western,Jeddah,The Village-Jeddah,Apparel,American Eagle,The Village-Jeddah-Aerie,RB2-H664-AME,H664,Shopping Mall / Center,LFL,11-Sep-2023,,184,Bassem ,Rayan 
Western,Jeddah,The Village-Jeddah,Wellness,Bath and Body Works,The Village-Jeddah,RB2-H665-BAT,H665,Shopping Mall / Center,LFL,23-Jul-2023,,104,Bassem ,Rayan 
Western,Jeddah,The Village-Jeddah,Starbucks,Starbucks,The Village-Jeddah,RB2-H669-STA,H669,Shopping Mall / Center,LFL,1-Jul-2023,,192,Bassem ,Rayan 
Western,Madina,"Oberoi, Medina",Apparel,American Eagle,Oberoi Medina,RB2-H017-AME,H017,Others,LFL,1-Dec-2018,,226,Hakeem ,Jamal 
